t,root_x,root_y,root_z,action_min,action_max,action_mean
6.9420,3.977171,0.055543,2.038683,-1.567040,1.421332,-0.039971
6.9620,3.992954,0.057206,2.037234,-1.338373,1.663410,-0.022248
6.9820,4.009016,0.058736,2.035028,-1.042338,1.859478,0.004518
7.0020,4.025309,0.059984,2.031942,-0.701937,1.984146,0.036260
7.0220,4.041920,0.060756,2.027801,-0.696144,2.041693,0.075883
7.0420,4.059140,0.060958,2.023013,-0.856785,1.407027,0.115599
7.0620,4.076102,0.061643,2.019457,-1.784131,2.090357,0.058170
7.0820,4.090239,0.063705,2.019445,-1.747375,1.987660,0.014909
7.1020,4.103378,0.065546,2.021915,-1.647289,1.354851,-0.030368
7.1220,4.116178,0.066980,2.025372,-1.520910,1.439968,-0.060511
7.1420,4.128529,0.068285,2.028620,-1.227681,1.915684,-0.057805
7.1620,4.140388,0.069696,2.031058,-1.332425,2.141293,-0.044110
7.1820,4.151766,0.071435,2.032935,-1.319774,2.033883,-0.038301
7.2020,4.163006,0.073387,2.034483,-1.264184,1.752126,-0.031998
7.2220,4.174239,0.075616,2.035814,-1.305504,1.439120,-0.033975
7.2420,4.185524,0.078117,2.037028,-1.370324,1.029803,-0.025397
7.2620,4.197014,0.080888,2.038512,-1.466539,1.126808,-0.021763
7.2820,4.208796,0.083951,2.040359,-1.594301,1.314831,-0.028781
7.3020,4.220903,0.087308,2.042358,-1.721008,1.411996,-0.038417
7.3220,4.233299,0.091038,2.044301,-1.794743,1.413485,-0.044712
7.3420,4.246067,0.095106,2.045877,-1.793349,1.366803,-0.039733
7.3620,4.259179,0.099548,2.046989,-1.707136,1.268194,-0.028365
7.3820,4.272632,0.104389,2.047491,-1.576077,1.156640,-0.015464
7.4020,4.286374,0.109656,2.047183,-1.394808,1.072429,0.000492
7.4220,4.300342,0.115409,2.045848,-1.159690,1.068450,0.018062
7.4420,4.314510,0.121725,2.043261,-0.968320,1.150510,0.041413
